msp_name_corrected	itol	ref_MSP	msp_id	catalogue	size	completeness	cultured	oxygen	opp_path	MSP_class	gtdb_r220_classification	superkingdom	phylum	class	order	family	genus	species	msp
msp_0001_hs	y	gut	msp_0001	gut	14947	NA	TRUE	0	NA	gss	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 3	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 3	msp_0001
msp_0002_hs	y	gut	msp_0002	gut	11854	NA	TRUE	0	NA	gut	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 1	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 1	msp_0002
msp_0003_hs	y	gut	msp_0003	gut	14853	100	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides cellulosilyticus	msp_0003
msp_0004_hs	y	gut	msp_0004	gut	11112	NA	TRUE	0	NA	gut	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 2	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 2	msp_0004
msp_0005_hs	y	gut	msp_0005	gut & oral	12508	95.92	TRUE	1	1	gss	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli	msp_0005
msp_0006_hs	y	gut	msp_0006	gut	11640	NA	TRUE	0	NA	gut	d__Eukaryota;p__Heterokonta;c__Blastocystae;o__Blastocystida;f__Blastocystidae;g__Blastocystis;s__Blastocystis sp. subtype 4	Eukaryota	Heterokonta	Blastocystae	Blastocystida	Blastocystidae	Blastocystis	Blastocystis sp. subtype 4	msp_0006
msp_0007_hs	y	gut	msp_0007	gut	9517	90.33	TRUE	0	1	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides ovatus	msp_0007
msp_0008_hs	y	gut	msp_0008	gut	11006	95.92	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides intestinalis	msp_0008
msp_0009_hs	y	gut	msp_0009	gut	8454	100	TRUE	0	NA	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster bolteae	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster bolteae	msp_0009
msp_0010_hs	y	gut	msp_0010	gut	10624	100	TRUE	0	1	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides fragilis	msp_0010
msp_0011_hs	y	gut	msp_0011	gut	10051	95.92	TRUE	0	1	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides thetaiotaomicron	msp_0011
msp_0012_hs	y	gut	msp_0012	gut	10104	100	TRUE	0	1	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides distasonis	msp_0012
msp_0013_hs	y	gut	msp_0013	gut	10863	100	TRUE	0	NA	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Hominimerdicola;s__Hominimerdicola aceti	Bacteria	Bacillota_A	Clostridia	Oscillospirales	Ruminococcaceae	Hominimerdicola	Hominimerdicola aceti	msp_0013
msp_0014_hs	y	gut	msp_0014	gut	8128	100	TRUE	0	NA	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella tayi	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella tayi	msp_0014
msp_0015_hs	y	gut	msp_0015	gut	10075	100	TRUE	0	NA	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__Agathobacter faecis	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	Agathobacter faecis	msp_0015
msp_0016_hs	y	gut	msp_0016	gut	10715	100	TRUE	0	1	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola plebeius_A	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Phocaeicola	Phocaeicola plebeius_A	msp_0016
msp_0017_hs	y	gut	msp_0017	gut	9197	100	TRUE	0	NA	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	Roseburia intestinalis	msp_0017
msp_0018_hs	y	gut	msp_0018	gut	8098	100	TRUE	0	NA	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella porci	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Eisenbergiella	Eisenbergiella porci	msp_0018
msp_0019_hs	y	gut	msp_0019	gut	8052	94.32	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides faecis	msp_0019
msp_0020_hs	y	gut	msp_0020	gut	7174	70.34	TRUE	0	1	gss	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__Enterocloster clostridioformis	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Enterocloster	Enterocloster clostridioformis	msp_0020
msp_0021_hs	y	gut	msp_0021	gut	6739	75.94	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides xylanisolvens	msp_0021
msp_0022_hs	y	gut	msp_0022	gut	8721	84.73	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides finegoldii	msp_0022
msp_0023_hs	y	gut	msp_0023	gut	8289	98.32	TRUE	0	1	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	Bacteroides caccae	msp_0023
msp_0024_hs	y	gut	msp_0024	gut	7893	100	TRUE	0	NA	gut	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii	Bacteria	Bacillota_A	Clostridia	Lachnospirales	Lachnospiraceae	Hungatella	Hungatella effluvii	msp_0024
msp_0025_hs	y	gut	msp_0025	gut	7677	100	TRUE	0	NA	gss	d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae;g__Akkermansia;s__Akkermansia muciniphila	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Akkermansiaceae	Akkermansia	Akkermansia muciniphila	msp_0025
msp_0026_hs	y	oral	msp_0026	gut & oral	2653	100	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Paraprevotella;s__Paraprevotella clara	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Paraprevotella	Paraprevotella clara	msp_0026
msp_0027_hs	y	gut	msp_0027	gut	7260	100	TRUE	0	NA	gss	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Tannerellaceae	Parabacteroides	Parabacteroides merdae	msp_0027
